"","region","LATITUDE","LONGITUDE","year"
"1","Basin City",46.4914631454545,-119.153266918182,2016
"2","Mattawa",46.7125055333333,-119.8055611,2016
"3","Othello",46.9577097166667,-119.0602,2016
"4","Paterson",45.95778501,-119.56638164,2016
"5","Quincy",47.1163291625,-119.7389479125,2016
"6","Royal City",46.93675998,-119.59765332,2016
"7","Snake River",46.2694625,-118.720952075,2016
"358","Basin City",46.4769105454545,-119.157063454545,2017
"359","Paterson",45.9621183,-119.5546183,2017
"360","Snake River",46.2717875,-118.7616705,2017
"361","Mattawa",46.710961,-119.83855,2017
"362","Othello",46.9168819166667,-119.027436166667,2017
"363","Quincy",47.2538923076923,-119.710702538462,2017
"364","Royal City",46.8946915,-119.4454415,2017
"704","Basin City",46.4849555555556,-119.152374111111,2018
"705","Mattawa",46.7113333333333,-119.80857,2018
"706","Othello",46.9423378181818,-119.041236272727,2018
"707","Quincy",47.1205518888889,-119.723716777778,2018
"708","Royal City",46.9047056666667,-119.599494333333,2018
"709","Paterson",45.958331625,-119.527493,2018
"710","Snake River",46.257504,-118.789944333333,2018
"1052","Mattawa",46.72695,-119.7862889,2019
"1053","Quincy",47.1349714142857,-119.707845228571,2019
"1054","Royal City",46.916366675,-119.571266675,2019
"1055","Basin City",46.4629757545455,-119.174928772727,2019
"1056","Paterson",45.9634452428571,-119.506557142857,2019
"1057","Snake River",46.2703055666667,-118.7328611,2019
"1058","Othello",46.97063499,-119.02946333,2019
"1397","Basin City",46.47350275,-119.167918625,2020
"1398","Paterson",45.95599475,-119.520745375,2020
"1399","Snake River",46.28116225,-118.8267655,2020
"1400","Mattawa",46.722546,-119.8213525,2020
"1401","Othello",46.9273754,-119.0275261,2020
"1402","Quincy",47.1187634285714,-119.688504428571,2020
"1403","Royal City",46.9144906666667,-119.613846833333,2020
"1750","Basin City",46.48455275,-119.182171975,2021
"1751","Paterson",45.9600025,-119.53976375,2021
"1752","Snake River",46.2693156,-118.7990972,2021
"1753","Mattawa",46.7093705,-119.8141745,2021
"1754","Othello",46.9560058,-119.02272385,2021
"1755","Quincy",47.1287655555556,-119.702709,2021
"1756","Royal City",46.9242042,-119.64601294,2021
"2103","Basin City",46.478287,-119.188022625,2022
"2104","Mattawa",46.711628,-119.8117005,2022
"2105","Othello",46.9154775,-119.021274625,2022
"2106","Paterson",45.9721725,-119.551589875,2022
"2107","Quincy",47.1141953333333,-119.710047444444,2022
"2108","Royal City",46.93693325,-119.5897575,2022
"2109","Snake River",46.2748132,-118.7957296,2022
"2453","Basin City",46.4451296714286,-119.150474471429,2023
"2454","Mattawa",46.7114465,-119.8352691,2023
"2455","Othello",46.96715157,-119.03890505,2023
"2456","Paterson",45.98275715,-119.4589858875,2023
"2457","Quincy",47.10469893,-119.70118526,2023
"2458","Royal City",46.9404994,-119.6030804,2023
"2459","Snake River",46.26707294,-118.83427638,2023
